symbol,scan_time,entry_time,exit_time,side,score,entry,exit,filled_orders,full_position,notional,pnl,pnl_pct_on_notional,peak_favorable_pct,exit_reason,adx,range_pct,volume_ratio,atr_expansion
NFPUSDT,2026-04-18 04:00,2026-04-18 05:50,2026-04-18 08:15,LONG,72.47876939888198,0.01615794799309334,0.01649,10,True,1000.0,20.55038220500503,0.02055038220500503,0.04035487719018386,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,42.36781265585487,6.052801030264003,2.667415293691731,1.2516152496475288
USTCUSDT,2026-04-18 04:00,2026-04-18 06:10,2026-04-18 07:10,LONG,71.90599672538954,0.00583629036338997,0.005866,10,True,1000.0,5.090500088274046,0.0050905000882740465,0.030620415620690265,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,58.202454911650115,6.485539000876418,1.691621580105659,1.4097556625110435
AVAAIUSDT,2026-04-18 06:00,2026-04-18 10:50,2026-04-18 22:25,SHORT,82.5909052932879,0.009781935484479335,0.01076012903292727,4,False,670.0,-67.0000000000001,-0.10000000000000014,0.010931935162423299,hard-stop,75.93866807103313,11.097124043768773,1.9176366605102722,1.7493485531573745
DIAUSDT,2026-04-18 06:00,2026-04-18 06:05,2026-04-18 06:35,LONG,95.83920236369758,0.2262650206058438,0.20363851854525944,5,False,770.0,-76.99999999999994,-0.09999999999999992,0.012087504232130387,hard-stop,39.51065045112927,14.253187613843348,38.215332197553714,2.107221034192651
MITOUSDT,2026-04-18 06:00,2026-04-18 06:05,2026-04-19 22:00,LONG,78.9879825530856,0.04061657878119679,0.03655492090307711,8,False,950.0,-94.99999999999997,-0.09999999999999996,0.015595139664900887,hard-stop,62.75919743719949,4.0486835568802775,2.2577663567035406,1.418797589247143
ZKJUSDT,2026-04-18 06:00,2026-04-18 06:05,2026-04-18 06:25,LONG,73.38423728075946,0.023633623901435225,0.02372,10,True,1000.0,3.6547970351483645,0.0036547970351483647,0.06500806245255836,profit-giveback,29.044648262714926,11.63793103448275,4.906915946127269,1.3768617791106617
USUALUSDT,2026-04-18 07:00,2026-04-18 07:05,2026-04-19 02:20,LONG,77.95260246610934,0.014868546074470147,0.013381691467023133,5,False,770.0,-76.99999999999996,-0.09999999999999995,0.006823392483818843,hard-stop,46.561404517567084,5.030591434398375,3.599142813900707,1.2766718083732436
IOUSDT,2026-04-18 09:00,2026-04-18 12:20,2026-04-19 03:10,SHORT,77.40465400687634,0.11924903693169948,0.1159,10,True,1000.0,28.084393952947895,0.028084393952947897,0.04904892385042531,full-position-dynamic-tp: kline weakness: no-new-low + shadow/ema-reclaim,37.585216041692206,7.540983606557377,2.1079510250215363,1.5472485711144806
HIVEUSDT,2026-04-18 23:00,2026-04-18 23:10,2026-04-20 23:00,LONG,72.05250080622191,0.0653298802104911,0.06184,5,False,770.0,-41.13290508753483,-0.05341935725653874,0.004062451213909477,timeout,42.97719466971783,4.547556651765081,6.931659719809443,1.1587860998485733
AVAAIUSDT,2026-04-19 01:00,2026-04-19 01:10,2026-04-19 04:55,LONG,75.3765360257447,0.011174331813172539,0.010056898631855285,1,False,220.0,-22.0,-0.1,0.0013126679136348225,hard-stop,64.08851189641197,7.073394495412852,2.709277551883896,1.1392051161265826
TRUTHUSDT,2026-04-19 01:00,2026-04-19 01:15,2026-04-19 05:10,LONG,71.15285175163758,0.010184153255684543,0.010331,10,True,1000.0,14.419141250991201,0.014419141250991202,0.031700892181218215,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,51.17372451528001,4.744887830057567,2.5595090348806777,1.2124977988576915
DIAUSDT,2026-04-19 14:00,2026-04-19 15:05,2026-04-20 04:35,SHORT,77.80788715426257,0.17963166493881705,0.19759483143269876,6,False,850.0,-85.00000000000006,-0.10000000000000006,0.013536950401507899,hard-stop,39.99690446578073,10.537870472008795,3.2310539466852224,1.1845448062128787
USTCUSDT,2026-04-20 00:00,2026-04-20 06:15,2026-04-21 13:20,LONG,75.68747573724667,0.005342488334329445,0.005375,10,True,1000.0,6.085491186128274,0.0060854911861282735,0.03322640211114944,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,63.088034192877934,7.386138613861387,2.4528970662312553,1.1987645997717022
FLOCKUSDT,2026-04-20 10:00,2026-04-20 10:05,2026-04-20 15:00,LONG,81.76661611655751,0.06444107032363046,0.05799696329126741,6,False,850.0,-85.00000000000003,-0.10000000000000003,0.01565662505763133,hard-stop,53.998506239864774,10.441129800063464,10.46649142511431,1.4089047606594727
NFPUSDT,2026-04-20 14:00,2026-04-21 01:05,2026-04-22 14:00,LONG,75.23170960306967,0.015124420877762121,0.01483,9,False,980.0,-19.077256745156905,-0.01946658851546623,0.018220804913136962,timeout,78.75173981050105,4.739336492891002,2.379148827749869,1.2220753574422178
FLOCKUSDT,2026-04-21 01:00,2026-04-21 10:40,2026-04-23 01:00,LONG,77.39549389410075,0.06388620256726583,0.0634,10,True,1000.0,-7.610447134557942,-0.007610447134557942,0.029643293178056557,timeout,54.98633415884753,7.306451612903237,8.611732233358463,1.259845081682687
USTCUSDT,2026-04-21 14:00,2026-04-21 16:10,2026-04-23 14:00,LONG,87.2411892775741,0.005552776229478897,0.005375,6,False,850.0,-27.213377383162463,-0.03201573809783819,0.011205884759188685,timeout,48.28794532124572,4.745951982132887,5.456954061521725,2.097297786005658
CARVUSDT,2026-04-22 01:00,2026-04-23 03:35,2026-04-24 01:00,SHORT,93.45520998697184,0.055459770887612274,0.057,1,False,220.0,-6.109841409405953,-0.027772006406390694,0.0016186667592657314,timeout,39.14489395544956,7.302609284988142,8.653102743636707,1.8193873109745113
USUALUSDT,2026-04-22 03:00,2026-04-22 03:05,2026-04-24 03:00,LONG,77.34152783552246,0.015500428419364321,0.01487,6,False,850.0,-34.570925522950766,-0.040671677085824434,0.009649512683715456,timeout,40.70276396897297,7.436399217221138,2.2580683548701876,1.2094642139242644
NFPUSDT,2026-04-23 01:00,2026-04-23 02:35,2026-04-24 12:40,SHORT,70.53505271735949,0.014193011416379941,0.015612312558017937,8,False,950.0,-95.00000000000013,-0.10000000000000013,0.008667041318516542,hard-stop,52.62492765335917,4.476584022038564,2.2346439906061435,1.3046416102757128
TUTUSDT,2026-04-23 01:00,2026-04-23 02:35,2026-04-24 07:25,SHORT,72.78584782881164,0.010440718049412642,0.011484789854353908,7,False,910.0,-91.0000000000001,-0.1000000000000001,0.010604447786890502,hard-stop,45.96620347700357,5.529522024367387,3.244605542843755,1.2141464409463363
ZKJUSDT,2026-04-23 01:00,2026-04-23 10:10,2026-04-23 15:05,SHORT,80.45614194160633,0.017572240380042767,0.01629,10,True,1000.0,72.96965852453515,0.07296965852453514,0.11906508986861894,full-position-dynamic-tp: kline weakness: no-new-low + shadow/ema-reclaim,34.4490341186069,8.650137741046843,6.955467532301425,1.576487347136789
FLOCKUSDT,2026-04-23 02:00,2026-04-23 02:10,2026-04-23 08:40,LONG,71.00773805215304,0.06474153554581007,0.06625,10,True,1000.0,23.299794196610794,0.023299794196610792,0.04013597194263795,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,34.358143949015975,4.454203262233368,1.6425985214632357,1.7765628374542424
AVAAIUSDT,2026-04-23 05:00,2026-04-23 08:35,2026-04-25 05:00,SHORT,76.89088519650313,0.008044653970877162,0.008102,7,False,910.0,-6.486902567928868,-0.007128464360361394,0.011144540362049454,timeout,76.04963898490789,4.798009714488814,10.808739067519621,1.1144809230551376
TRUTHUSDT,2026-04-23 06:00,2026-04-23 06:15,2026-04-23 11:50,LONG,70.26497369325956,0.010260903346681265,0.009234813012013138,7,False,910.0,-91.00000000000003,-0.10000000000000003,0.013361070530215624,hard-stop,26.614010244987025,5.288893324019551,4.241769470688914,1.6204854707335556
ZKJUSDT,2026-04-23 16:00,2026-04-23 16:10,2026-04-24 02:45,SHORT,97.70161290322582,0.014979215041072552,0.01381,10,True,1000.0,78.0558285508687,0.07805582855086869,0.2382778424160327,profit-giveback,40.48232297407126,18.129032258064516,4.2763236986068165,1.9065040922150946
USTCUSDT,2026-04-23 21:00,2026-04-23 21:55,2026-04-24 00:00,LONG,70.58982296507253,0.00549212455994896,0.005646,10,True,1000.0,28.01747090245715,0.02801747090245715,0.04221962512321372,full-position-dynamic-tp: kline weakness: no-new-high + shadow/ema-break,46.382427574923135,5.46125461254613,6.714136006828452,1.1974542735461235
NFPUSDT,2026-04-24 00:00,2026-04-24 12:20,2026-04-24 16:40,LONG,72.75318706794948,0.015567480861000342,0.01633,10,True,1000.0,48.98153694923897,0.04898153694923897,0.1588258987485775,profit-giveback,50.50212627144834,4.99015101772817,2.660963810648171,1.1302556295866222
DIAUSDT,2026-04-24 04:00,2026-04-25 14:45,2026-04-26 04:00,SHORT,82.69148496443471,0.19535243204887828,0.1962,7,False,910.0,-3.9481813839297093,-0.004338660861461219,0.013065780764068762,timeout,83.80736109951012,6.565409113179811,7.542144964623161,1.4225116442906223
ZKJUSDT,2026-04-24 04:00,2026-04-24 06:15,2026-04-24 06:15,LONG,74.10888106615454,0.01626932853209655,0.014642395678886895,7,False,910.0,-91.0,-0.1,0.05904800963409221,hard-stop,57.29605683812975,33.535200605601815,1.6831660799615902,1.9039773330149403
1000000BOBUSDT,2026-04-24 06:00,2026-04-25 15:30,2026-04-26 06:00,SHORT,78.49621727973746,0.014300685226599885,0.01461,6,False,850.0,-18.384962204542443,-0.0216293672994617,0.010536923525846498,timeout,48.564986859619744,9.305461901550906,5.481371849693278,1.496765065897741
AVAAIUSDT,2026-04-24 06:00,2026-04-24 06:05,2026-04-26 06:00,LONG,70.05570837124651,0.008581919484276673,0.008225,8,False,950.0,-39.51021804435146,-0.04158970320458048,0.01783756139914766,timeout,34.344137648591285,4.724873335689883,3.4797225171218362,1.327209793891994
TUTUSDT,2026-04-24 08:00,2026-04-24 08:05,2026-04-26 08:00,LONG,76.40663989956789,0.0116790551281816,0.01133,8,False,950.0,-28.392910910435063,-0.029887274642563223,0.015493108803106894,timeout,60.72948204641284,5.790838375108042,2.1632223993076356,1.2509299829109073
MITOUSDT,2026-04-24 13:00,2026-04-26 09:10,2026-04-26 13:00,LONG,88.29353846471503,0.04134369957286068,0.04112,10,True,1000.0,-5.4107294502383345,-0.005410729450238335,0.056267350313912834,profit-giveback,52.3562802370368,8.959462948618643,15.005241403887073,2.0281063870107636
NFPUSDT,2026-04-24 16:00,2026-04-24 16:05,2026-04-24 16:35,LONG,78.07240308076366,0.016230621648154815,0.01682,10,True,1000.0,36.31274048657219,0.03631274048657219,0.11147930073589543,profit-giveback,58.2354873538046,4.993757802746569,1.6605282213814256,1.4827087525927822
